date,death,deathIncrease,inIcuCumulative,inIcuCurrently,hospitalizedIncrease,hospitalizedCurrently,hospitalizedCumulative,negative,negativeIncrease,onVentilatorCumulative,onVentilatorCurrently,positive,positiveIncrease,states,totalTestResults,totalTestResultsIncrease
11/9/20,3083,0,2122,0,0,1174,21294,1232975,3158,1226,0,204857,1170,1,1406829,4138
11/8/20,3083,2,2121,0,0,1060,21294,1229817,5222,1225,0,203687,1205,1,1402691,6323
11/7/20,3081,33,2121,0,0,1015,21294,1224595,7593,1225,0,202482,1768,1,1396368,8920
11/6/20,3048,23,2110,0,267,1022,21294,1217002,7161,1220,0,200714,1556,1,1387448,8341
11/5/20,3025,20,2100,0,0,994,21027,1209841,6344,1214,0,199158,1381,1,1379107,7495
11/4/20,3005,19,2089,0,126,1017,21027,1203497,7075,1207,0,197777,1848,1,1371612,8563
11/3/20,2986,14,2081,0,451,1022,20901,1196422,5986,1203,0,195929,1037,1,1363049,6629
11/2/20,2972,0,2067,0,0,967,20450,1190436,3095,1193,0,194892,907,1,1356420,3840
11/1/20,2972,6,2066,0,0,967,20450,1187341,5383,1193,0,193985,1700,1,1352580,6327
10/31/20,2966,35,2065,0,0,960,20450,1181958,8989,1192,0,192285,1789,1,1346253,10564
10/30/20,2931,18,2061,0,204,1013,20450,1172969,7071,1187,0,190496,1347,1,1335689,8254
10/29/20,2913,3,2056,0,130,1013,20246,1165898,5972,1183,0,189149,1443,1,1327435,7129
10/28/20,2910,19,2049,0,142,1013,20116,1159926,6478,1176,0,187706,1269,1,1320306,7419
10/27/20,2891,26,2035,0,0,1001,19974,1153448,4455,1164,0,186437,1115,1,1312887,5193
10/26/20,2865,0,2025,0,379,967,19974,1148993,4208,1159,0,185322,967,1,1307694,5028
10/25/20,2865,0,2022,0,0,922,19595,1144785,5863,1157,0,184355,1079,1,1302666,6798
10/24/20,2865,7,2021,0,0,920,19595,1138922,5064,1157,0,183276,2360,1,1295868,6095
10/23/20,2858,16,2001,0,147,888,19595,1133858,8105,1148,0,180916,3852,1,1289773,9078
10/22/20,2842,15,1985,0,118,864,19448,1125753,5246,1137,0,177064,1390,1,1280695,7172
10/21/20,2827,23,1967,0,249,863,19330,1120507,7948,1121,0,175674,1146,1,1273523,7948
10/20/20,2804,16,1954,0,0,846,19081,1112559,4731,1114,0,174528,1043,1,1265575,5475
10/19/20,2788,1,1939,0,226,859,19081,1107828,5459,1106,0,173485,859,1,1260100,6204
10/18/20,2787,0,1934,0,0,823,18855,1102369,4270,1103,0,172626,964,1,1253896,5101
10/17/20,2787,2,1933,0,0,823,18855,1098099,6641,1102,0,171662,1288,1,1248795,7613
10/16/20,2785,30,1926,0,220,859,18855,1091458,6043,1099,0,170374,1212,1,1241182,7108
10/15/20,2755,50,1914,0,0,844,18635,1085415,6939,1091,0,169162,1185,1,1234074,7853
10/14/20,2705,41,1907,0,195,834,18635,1078476,4352,1085,0,167977,784,1,1226221,5014
10/13/20,2664,0,1896,0,261,823,18440,1074124,5737,1072,0,167193,1117,1,1221207,6597
10/12/20,2664,1,1892,0,0,856,18179,1068387,3970,1068,0,166076,734,1,1214610,4603
10/11/20,2663,0,1890,0,0,812,18179,1064417,4998,1067,0,165342,816,1,1210007,5687
10/10/20,2663,11,1889,0,190,792,18179,1059419,6867,1065,0,164526,1061,1,1204320,7868
10/9/20,2652,16,1884,0,0,816,17989,1052552,10506,1063,0,163465,1490,1,1196452,11742
10/8/20,2636,36,1876,0,74,754,17989,1042046,3520,1061,0,161975,557,1,1184710,3892
10/7/20,2600,21,1867,0,216,777,17915,1038526,7233,1057,0,161418,941,1,1180818,7971
10/6/20,2579,21,1862,0,0,764,17699,1031293,4702,1056,0,160477,764,1,1172847,5334
10/5/20,2558,1,1847,0,279,791,17699,1026591,4518,1047,0,159713,544,1,1167513,4995
10/4/20,2557,0,1845,0,0,757,17420,1022073,5754,1046,0,159169,789,1,1162518,6473
10/3/20,2557,8,1843,0,0,738,17420,1016319,9707,1045,0,158380,1682,1,1156045,10444
10/2/20,2549,2,1840,0,163,752,17420,1006612,6042,1043,0,156698,954,1,1145601,6869
10/1/20,2547,8,1832,0,0,760,17257,1000570,6095,1037,0,155744,1043,1,1138732,6693
9/30/20,2539,23,1815,0,75,776,17257,994475,11312,1025,0,154701,1147,1,1132039,12327
9/29/20,2516,16,1802,0,91,773,17182,983163,2872,1014,0,153554,571,1,1119712,3366
9/28/20,2500,0,1798,0,239,753,17091,980291,4606,1012,0,152983,662,1,1116346,5107
9/27/20,2500,0,1791,0,0,741,16852,975685,5637,1007,0,152321,730,1,1111239,6307
9/26/20,2500,10,1791,0,0,709,16852,970048,6684,1007,0,151591,933,1,1104932,7337
9/25/20,2490,0,1782,0,74,718,16852,963364,18617,1000,0,150658,2452,1,1097595,19415
9/24/20,2505,18,1679,0,80,744,16778,944747,6296,931,0,148206,1053,1,1078180,7277
9/23/20,2487,31,1669,0,94,768,16698,938451,4886,920,0,147153,569,1,1070903,5350
9/22/20,2456,18,1659,0,117,796,16604,933565,5453,910,0,146584,804,1,1065553,6036
9/21/20,2438,2,1645,0,260,802,16487,928112,4746,904,0,145780,818,1,1059517,5500
9/20/20,2436,0,1643,0,0,780,16227,923366,4918,904,0,144962,798,1,1054017,5595
9/19/20,2436,9,1642,0,0,747,16227,918448,8256,904,0,144164,1301,1,1048422,9412
9/18/20,2427,27,1638,0,148,744,16227,910192,7036,904,0,142863,1106,1,1039010,7757
9/17/20,2400,9,1631,0,137,740,16079,903156,3472,900,0,141757,670,1,1031253,4046
9/16/20,2391,5,1629,0,186,722,15942,899684,6874,901,0,141087,927,1,1027207,7584
9/15/20,2386,32,1622,0,0,716,15756,892810,4718,898,0,140160,701,1,1019623,5232
9/14/20,2354,4,1611,0,229,792,15756,888092,3660,892,0,139459,704,1,1014391,4164
9/13/20,2350,1,1610,0,0,790,15527,884432,5709,892,0,138755,1109,1,1010227,6681
9/12/20,2349,17,1608,0,0,793,15527,878723,4504,891,0,137646,943,1,1003546,5230
9/11/20,2332,32,1593,0,188,811,15527,874219,4046,877,0,136703,1138,1,998316,4876
9/10/20,2300,16,1572,0,0,834,15339,870173,6191,864,0,135565,1148,1,993440,6878
9/9/20,2284,8,1551,0,202,857,15339,863982,5193,854,0,134417,811,1,986562,5894
9/8/20,2276,1,1538,0,223,778,15137,858789,3767,848,0,133606,633,1,980668,4172
9/7/20,2275,0,1537,0,0,858,14914,855022,3028,848,0,132973,659,1,976496,3687
9/6/20,2275,1,1537,0,0,841,14914,851994,5824,848,0,132314,511,1,972809,6312
9/5/20,2274,9,1537,0,113,818,14914,846170,6150,848,0,131803,1410,1,966497,7188
9/4/20,2265,33,1525,0,0,880,14801,840020,3331,839,0,130393,1108,1,959309,4019
9/3/20,2232,16,1511,0,48,872,14801,836689,695,827,0,129285,1046,1,955290,1076
9/2/20,2216,17,1501,0,215,959,14753,835994,4690,827,0,128239,623,1,954214,4776
9/1/20,2199,18,1487,0,271,990,14538,831304,-27925,817,0,127616,1558,1,949438,-26943
8/31/20,2181,20,1474,0,0,1004,14267,859229,3402,807,0,126058,823,1,976381,4098
8/30/20,2161,10,1467,0,0,969,14267,855827,3898,804,0,125235,1346,1,972283,5070
8/29/20,2151,45,1459,0,0,986,14267,851929,9251,801,0,123889,1704,1,967213,10812
8/28/20,2106,31,1450,0,262,1002,14267,842678,6892,794,0,122185,1162,1,956401,7821
8/27/20,2075,31,1430,0,0,1052,14005,835786,11355,782,0,121023,1769,1,948580,12023
8/26/20,2044,8,1412,0,212,1077,14005,824431,14396,770,0,119254,2012,1,936557,15568
8/25/20,2036,13,1399,0,0,1097,13793,810035,3426,764,0,117242,532,1,920989,4625
8/24/20,2023,11,1391,0,291,1149,13793,806609,0,754,0,116710,1650,1,916364,-339
8/23/20,2012,2,1348,0,0,1093,13502,806609,4859,734,0,115060,528,1,916703,5387
8/22/20,2010,21,1348,0,172,1067,13502,801750,17420,734,0,114532,1762,1,911316,19503
8/21/20,1989,16,1348,0,0,1168,13330,784330,0,734,0,112770,321,1,891813,0
8/20/20,1973,30,1348,0,250,1105,13330,784330,10462,734,0,112449,971,1,891813,11161
8/19/20,1943,8,1336,0,122,1198,13080,773868,15970,731,0,111478,1117,1,880652,16939
8/18/20,1935,11,1329,0,0,1280,12958,757898,13979,729,0,110361,1357,1,863713,15199
8/17/20,1924,27,1319,0,351,1301,12958,743919,5928,720,0,109004,571,1,848514,6444
8/16/20,1897,2,1316,0,0,1289,12607,737991,8554,720,0,108433,853,1,842070,9276
8/15/20,1895,3,1313,0,151,1259,12607,729437,10762,719,0,107580,1271,1,832794,11923
8/14/20,1892,3,1305,0,0,1326,12456,718675,21670,716,0,106309,752,1,820871,22370
8/13/20,1889,8,1292,0,164,1341,12456,697005,6020,707,0,105557,771,1,798501,6715
8/12/20,1881,35,1282,0,222,1386,12292,690985,11147,700,0,104786,935,1,791786,12022
8/11/20,1846,50,1270,0,0,1504,12070,679838,2291,691,0,103851,831,1,779764,2827
8/10/20,1796,29,1249,0,533,1551,12070,677547,16430,680,0,103020,1686,1,776937,18085
8/9/20,1767,33,1242,0,0,1449,11537,661117,10002,674,0,101334,2947,1,758852,12910
8/8/20,1734,0,1228,0,0,1454,11537,651115,0,661,0,98387,86,1,745942,0
8/7/20,1734,21,1219,0,224,1403,11537,651115,7923,658,0,98301,1709,1,745942,9348
8/6/20,1713,19,1211,0,213,1613,11313,643192,10386,654,0,96592,1938,1,736594,12012
8/5/20,1694,29,1200,0,0,1572,11100,632806,4207,645,0,94654,952,1,724582,5093
8/4/20,1665,33,1173,0,235,1572,11100,628599,7209,634,0,93702,1041,1,719489,8172
8/3/20,1632,6,1153,0,344,1540,10865,621390,6764,619,0,92661,1217,1,711317,7880
8/2/20,1626,24,1151,0,0,1538,10521,614626,6604,616,0,91444,2095,1,703437,8635
8/1/20,1602,23,1150,0,0,1416,10521,608022,6278,616,0,89349,1626,1,694802,7780
7/31/20,1579,15,1144,0,451,1596,10521,601744,7398,613,0,87723,1961,1,687022,9181
7/30/20,1564,27,1129,0,177,1512,10070,594346,9853,605,0,85762,1980,1,677841,11776
7/29/20,1537,47,1109,0,0,1605,9893,584493,1460,595,0,83782,1416,1,666065,2723
7/28/20,1490,0,1094,0,199,1598,9893,583033,6189,584,0,82366,1251,1,663342,7369
7/27/20,1490,18,1081,0,537,1473,9694,576844,6452,577,0,81115,1821,1,655973,8230
7/26/20,1472,17,1076,0,0,1512,9157,570392,6911,573,0,79294,1164,1,647743,7948
7/25/20,1455,18,1069,0,0,1499,9157,563481,10502,567,0,78130,2125,1,639795,12451
7/24/20,1437,41,1058,0,162,1536,9157,552979,7664,565,0,76005,1793,1,627344,9333
7/23/20,1396,33,1043,0,457,1561,8995,545315,7640,553,0,74212,2399,1,618011,9923
7/22/20,1363,61,1018,0,0,1468,8538,537675,7652,540,0,71813,1455,1,608088,8990
